Código,Nome científico,Nome popular,Família,Origem,Tipo,Estado de conservação,Latitude,Longitude,Descrição
00277,Peltophorum dubium,Canafístula,FABACEAE,"Argentina, Paraguai, Uruguai e Brasil (MS, MG – RS)",Árvore,,"-29,71722075","-53,7302793",
00336,Syagrus romanzoffiana,Jerivá,ARECACEAE,"Argentina, Uruguai, Brasil (BA – RS)",Árvore,,"-29,7171138","-53,7297522",
00542,Euterpe edulis,Palmiteiro-juçara,ARECACEAE,Brasil (BA ao RS),Árvore,Ameaçada,"-29,7177123","-53,7287658",
00651,Ravenala madagascariensis,Árvore-do-Viajante,STRELITZIACEAE,Madagascar,Árvore,,"-29,7171895","-53,7281157",
00825,Inga marginata,Ingá-feijão,FABACEAE,,Árvore,,"-29,7175294","-53,7281718",
00920,Platanus x acerifolia,Plátano,PLATANACEAE,Híbrido,Árvore,,"-29,7175338","-53,7292923",
00930,Ilex paraguariensis,Erva-Mate,AQUIFOLIACEAE,"Argentina, Bolívia, paraguai, Uruguai e Brasil (MT – RS)",Árvore,,"-29,7174517","-53,7296165",
01048,Cinnamomum camphora,Canforeira,LAURACEAE,China e Japão,Árvore,,"-29,7178599","-53,7296102",
01701,Araucaria angustifolia,Araucária,ARAUCARIACEAE,"Argentina, Paraguai e Brasil (MG – RS)",Árvore,,"-29,7184299","-53,72887",
-,Phyllpstachys edulis,Bambu,POACEAE,,Gramínea,,"-29,7174198","-53,7281269",
